HUC12,sp_ls,type,Year,preds_airDL,Region,scenario,Chinook,Sockeye,Chum,Pink,Coho,Spawning,Rearing
190202020501,K_r,Low,2019,0.11977188327782527,Cook_Inlet,Precipitation,1,0,0,0,0,0,1
190202020501,K_r,High,2014,0.10883076368168312,Cook_Inlet,Precipitation,1,0,0,0,0,0,1
190202020501,K_r,Low,2014,0.10883076368168312,Cook_Inlet,Snowpack,1,0,0,0,0,0,1
190202020501,K_r,High,2012,0.11547564966362008,Cook_Inlet,Snowpack,1,0,0,0,0,0,1
190202020503,"S_s, K_p, CO_r",Low,2019,0.16205222277880224,Cook_Inlet,Precipitation,1,1,0,0,1,1,1
190202020503,"S_s, K_p, CO_r",High,2014,0.1433260775543702,Cook_Inlet,Precipitation,1,1,0,0,1,1,1
190202020503,"S_s, K_p, CO_r",Low,2014,0.1433260775543702,Cook_Inlet,Snowpack,1,1,0,0,1,1,1
190202020503,"S_s, K_p, CO_r",High,2008,0.16315532970539712,Cook_Inlet,Snowpack,1,1,0,0,1,1,1
190202020705,"P_p, CH_p",Low,2019,0.013933505583545593,Cook_Inlet,Precipitation,0,0,1,1,0,0,0
190202020705,"P_p, CH_p",High,2014,0.03353355295050868,Cook_Inlet,Precipitation,0,0,1,1,0,0,0
190202020705,"P_p, CH_p",Low,2014,0.03353355295050868,Cook_Inlet,Snowpack,0,0,1,1,0,0,0
190202020705,"P_p, CH_p",High,2008,0.009731791925828613,Cook_Inlet,Snowpack,0,0,1,1,0,0,0
190202020303,"CH_s, P_s",Low,2019,-0.04789425915317757,Cook_Inlet,Precipitation,0,0,1,1,0,1,0
190202020303,"CH_s, P_s",High,2014,-0.030941585571939087,Cook_Inlet,Precipitation,0,0,1,1,0,1,0
190202020303,"CH_s, P_s",Low,2014,-0.030941585571939087,Cook_Inlet,Snowpack,0,0,1,1,0,1,0
190202020303,"CH_s, P_s",High,2008,0.010487139738928876,Cook_Inlet,Snowpack,0,0,1,1,0,1,0
190202020511,"P_s, CH_p",Low,2019,0.03815420555403137,Cook_Inlet,Precipitation,0,0,1,1,0,1,0
190202020511,"P_s, CH_p",High,2014,0.09106043331704536,Cook_Inlet,Precipitation,0,0,1,1,0,1,0
190202020511,"P_s, CH_p",Low,2015,0.04389330509494638,Cook_Inlet,Snowpack,0,0,1,1,0,1,0
190202020511,"P_s, CH_p",High,2012,0.05189539839021494,Cook_Inlet,Snowpack,0,0,1,1,0,1,0
190202021002,"CH_p, CO_p, SM_p, P_s",Low,2019,0.10633023242082061,Cook_Inlet,Precipitation,0,0,1,1,1,1,0
190202021002,"CH_p, CO_p, SM_p, P_s",High,2014,0.1487422075472811,Cook_Inlet,Precipitation,0,0,1,1,1,1,0
190202021002,"CH_p, CO_p, SM_p, P_s",Low,2015,0.12298864091677049,Cook_Inlet,Snowpack,0,0,1,1,1,1,0
190202021002,"CH_p, CO_p, SM_p, P_s",High,2010,0.0937702162364021,Cook_Inlet,Snowpack,0,0,1,1,1,1,0
190202021003,P_s,Low,2019,0.03134064698743221,Cook_Inlet,Precipitation,0,0,0,1,0,1,0
190202021003,P_s,High,2014,0.03072382886124411,Cook_Inlet,Precipitation,0,0,0,1,0,1,0
