HUC12,sp_ls,type,Year,preds_airDL,Region,scenario,Chinook,Sockeye,Chum,Pink,Coho,Spawning,Rearing
190202020501,K_r,Low,2019,0.12633043636181457,Cook_Inlet,Precipitation,1,0,0,0,0,0,1
190202020501,K_r,High,2014,0.10466180066565688,Cook_Inlet,Precipitation,1,0,0,0,0,0,1
190202020501,K_r,Low,2014,0.10466180066565688,Cook_Inlet,Snowpack,1,0,0,0,0,0,1
190202020501,K_r,High,2012,0.11782455420294838,Cook_Inlet,Snowpack,1,0,0,0,0,0,1
190202020503,"S_s, K_p, CO_r",Low,2019,0.16586038117355043,Cook_Inlet,Precipitation,1,1,0,0,1,1,1
190202020503,"S_s, K_p, CO_r",High,2014,0.13555760452142548,Cook_Inlet,Precipitation,1,1,0,0,1,1,1
190202020503,"S_s, K_p, CO_r",Low,2014,0.13555760452142548,Cook_Inlet,Snowpack,1,1,0,0,1,1,1
190202020503,"S_s, K_p, CO_r",High,2012,0.15284897079664617,Cook_Inlet,Snowpack,1,1,0,0,1,1,1
190202020705,"P_p, CH_p",Low,2019,0.012380633467562548,Cook_Inlet,Precipitation,0,0,1,1,0,0,0
190202020705,"P_p, CH_p",High,2014,0.03485189943910015,Cook_Inlet,Precipitation,0,0,1,1,0,0,0
190202020705,"P_p, CH_p",Low,2014,0.03485189943910015,Cook_Inlet,Snowpack,0,0,1,1,0,0,0
190202020705,"P_p, CH_p",High,2012,0.026536160831515547,Cook_Inlet,Snowpack,0,0,1,1,0,0,0
190202020303,"CH_s, P_s",Low,2019,-0.04148572525358993,Cook_Inlet,Precipitation,0,0,1,1,0,1,0
190202020303,"CH_s, P_s",High,2014,-0.024082515152973966,Cook_Inlet,Precipitation,0,0,1,1,0,1,0
190202020303,"CH_s, P_s",Low,2014,-0.024082515152973966,Cook_Inlet,Snowpack,0,0,1,1,0,1,0
190202020303,"CH_s, P_s",High,2012,-0.04600517814470716,Cook_Inlet,Snowpack,0,0,1,1,0,1,0
190202020511,"P_s, CH_p",Low,2019,0.02851917283508405,Cook_Inlet,Precipitation,0,0,1,1,0,1,0
190202020511,"P_s, CH_p",High,2014,0.07818647054031586,Cook_Inlet,Precipitation,0,0,1,1,0,1,0
190202020511,"P_s, CH_p",Low,2015,0.02661941012347791,Cook_Inlet,Snowpack,0,0,1,1,0,1,0
190202020511,"P_s, CH_p",High,2012,0.04147184204092934,Cook_Inlet,Snowpack,0,0,1,1,0,1,0
190202021002,"CH_p, CO_p, SM_p, P_s",Low,2019,0.10580594235790865,Cook_Inlet,Precipitation,0,0,1,1,1,1,0
190202021002,"CH_p, CO_p, SM_p, P_s",High,2014,0.1546984630236487,Cook_Inlet,Precipitation,0,0,1,1,1,1,0
190202021002,"CH_p, CO_p, SM_p, P_s",Low,2015,0.1144248370070394,Cook_Inlet,Snowpack,0,0,1,1,1,1,0
190202021002,"CH_p, CO_p, SM_p, P_s",High,2012,0.09826034210573804,Cook_Inlet,Snowpack,0,0,1,1,1,1,0
190202021003,P_s,Low,2019,0.03572343641411536,Cook_Inlet,Precipitation,0,0,0,1,0,1,0
190202021003,P_s,High,2014,0.029020733237419164,Cook_Inlet,Precipitation,0,0,0,1,0,1,0
190202021003,P_s,Low,2015,0.01909502060762061,Cook_Inlet,Snowpack,0,0,0,1,0,1,0
190202021003,P_s,High,2012,0.016601908624619882,Cook_Inlet,Snowpack,0,0,0,1,0,1,0
190202020602,P_s,Low,2019,-0.028430626261095323,Cook_Inlet,Precipitation,0,0,0,1,0,1,0
190202020602,P_s,High,2014,0.006338901581243555,Cook_Inlet,Precipitation,0,0,0,1,0,1,0
190202020602,P_s,Low,2015,-0.05345617845127699,Cook_Inlet,Snowpack,0,0,0,1,0,1,0
190202020602,P_s,High,2012,-0.0289160044401762,Cook_Inlet,Snowpack,0,0,0,1,0,1,0
190202021201,P_s,Low,2019,-0.0626818139736287,Cook_Inlet,Precipitation,0,0,0,1,0,1,0
190202021201,P_s,High,2014,-0.03763432920392276,Cook_Inlet,Precipitation,0,0,0,1,0,1,0
190202021201,P_s,Low,2014,-0.03763432920392276,Cook_Inlet,Snowpack,0,0,0,1,0,1,0
190202021201,P_s,High,2012,-0.06929937196468716,Cook_Inlet,Snowpack,0,0,0,1,0,1,0
190202021004,P_s,Low,2019,-0.043872009487922664,Cook_Inlet,Precipitation,0,0,0,1,0,1,0
190202021004,P_s,High,2014,0.03391591279802371,Cook_Inlet,Precipitation,0,0,0,1,0,1,0
