OID_,cat_ID_con,dist_catch_coast_km,HUC12,HUC12_Review,DsContAreaSqKm,MERGE_SRC,sp_ls,AWC_CODE,sa_sp_hab,sa_sp_count
859,Bristol_Bay_1003859,7.660990933619779,190302030202,0,39.975900000000003,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"P_p, S_s, CH_p, K_p, CO_p",322-10-10080-2319,1,1
860,Bristol_Bay_1004129,9.812055757318355,190302030201,0,45.335900000000002,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,S_p,322-10-10080-2322-3004,2,0
861,Bristol_Bay_1006868,15.885000732003993,190302030205,0,35.790300000000002,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"CO_p, S_s",322-10-10080-2292,1,1
862,Bristol_Bay_1007408,11.065555756371333,190302030203,0,42.596800000000002,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"DV_p, P_p, CH_p, S_s",322-10-10080-2301,1,1
863,Bristol_Bay_1008168,12.796347046424797,190302030204,0,45.597900000000003,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"DV_p, P_p, CO_s, S_s, CH_p",322-10-10080-2295,1,2
864,Bristol_Bay_1008527,22.929443017077929,190302030206,0,69.569503999999995,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,S_s,322-10-10080-2264,1,1
865,Bristol_Bay_1008597,19.526005771146586,190302030207,0,117.894896000000003,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"S_p, CH_p, CO_p",322-10-10080-2261,2,0
866,Bristol_Bay_1013111,38.003617965393360,190302030908,0,56.216600000000000,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,K_p,322-10-10080-2011-3041-4059,2,0
867,Bristol_Bay_1013306,9.902669873982415,190302030108,0,99.641800000000003,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"DV_p, S_s",322-10-10080-2243-3008,1,1
868,Bristol_Bay_1013765,14.963892049720650,190302030104,0,49.397900000000000,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"CO_r, S_s",322-10-10080-2243-3018,1,1
869,Bristol_Bay_1014251,17.771067405961873,190302030910,0,142.753792000000004,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"K_p, CO_p",322-10-10080-2011-3019,2,0
870,Bristol_Bay_1014341,47.581703740254916,190302030905,0,121.891400000000004,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"DV_p, K_s, CO_s, CH_s",322-10-10080-2011-3080,1,3
871,Bristol_Bay_1014516,43.056442990881301,190302030211,0,60.912999999999997,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,S_s,322-10-10080-2122,1,1
872,Bristol_Bay_1014641,30.647314219426139,190302030909,0,256.457104000000015,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"K_p, CO_p",322-10-10080-2011-3041,2,0
873,Bristol_Bay_1014786,19.902671678774464,190302030208,0,81.889799999999994,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,S_p,322-10-10080-2253,2,0
874,Bristol_Bay_1014821,48.623711880490276,190302030904,0,1649.299968000000035,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"S_s, CH_s, CO_s, P_s, DV_p, K_p",322-10-10080-2011,1,4
875,Bristol_Bay_1015186,10.019499756137416,190302030107,0,567.620415999999977,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"CO_r, S_p, CO_p",322-10-10080-2243,2,0
876,Bristol_Bay_1015281,33.952706438662084,190302030906,0,1899.364352000000054,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"DV_p, CO_s, CH_s, S_s, P_s, K_p",322-10-10080-2011,1,4
877,Bristol_Bay_1015516,20.397654098677528,190302030109,0,729.142207999999982,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"DV_p, S_p, CH_p, CO_p",322-10-10080-2243,2,0
878,Bristol_Bay_1015685,32.211444187977349,190302030210,0,100.166703999999996,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,S_s,322-10-10080-2217,1,1
879,Bristol_Bay_1015771,5.225020206783348,190302030912,0,2511.634688000000097,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"DV_p, CO_s, CH_s, S_s, P_s, K_p",322-10-10080-2011,1,4
880,Bristol_Bay_1015821,2.861580121415494,190302031109,0,7009.709568000000218,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"DV_p, P_p, AL_p, CH_p, S_p, K_p, OP_p, CO_p",322-10-10080,2,0
881,Bristol_Bay_1016325,13.055826192926368,190302030105,0,351.940991999999994,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"CO_r, S_p, CO_p",322-10-10080-2243,2,0
882,Bristol_Bay_1016515,12.692453571633754,190302030106,0,58.106400000000001,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"CO_s, S_s",322-10-10080-2243-3016,1,2
883,Bristol_Bay_1016825,22.007105291772138,190302030209,0,70.351600000000005,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,S_p,322-10-10080-2239,2,0
884,Bristol_Bay_1021823,28.656244560254894,190302031101,0,42.784700000000001,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"K_p, CO_p",322-10-10080-2045,2,0
885,Bristol_Bay_1021914,17.864465513663742,190302030102,0,132.157000000000011,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"S_p, CO_p",322-10-10080-2243,2,0
886,Bristol_Bay_1021984,32.565753245152770,190302031102,0,100.553296000000003,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"DV_p, CO_s, S_p, K_p, CO_p",322-10-10080-2058,1,1
887,Bristol_Bay_1022264,26.807577433335080,190302031103,0,186.896895999999998,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"K_p, S_p, DV_p, CO_p",322-10-10080-2058,2,0
888,Bristol_Bay_1023034,37.509120009743462,190302030212,0,3257.745919999999842,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"CH_p, CO_p, K_p, P_p, S_p, DV_p",322-10-10080-0020,2,0
889,Bristol_Bay_1025113,45.230700469421862,190302030604,0,121.344303999999994,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,"CH_s, K_s",322-10-10080-2011-3154,1,2
890,Bristol_Bay_1025432,14.352506087227583,190302031106,0,64.275599999999997,D:\GIS\outputs_20230503\outputs_20230503.gdb\AKSSF_TauDEM_awcHuc12_outlet_cats_points,CO_p,322-10-10080-2041,2,0
