"SiteID","Year","TempSens_Z","TrendLoad_Z","Region","TempSens"
"CIK_0",2011,0.752431822140335,-0.636173126385393,"Cook Inlet",0.142939069902982
"CIK_1",2011,0.65394786871774,0.344503723652198,"Cook Inlet",0.549092563162117
"CIK_10",2011,0.505065207791826,0.368350945453305,"Cook Inlet",0.416324598251461
"CIK_11",2011,0.61552615117592,0.265100077228957,"Cook Inlet",0.48615215842775
"CIK_12",2011,0.674857264209197,0.124860825711563,"Cook Inlet",0.524530451577937
"CIK_13",2011,0.616739701292478,-0.0352511357149018,"Cook Inlet",0.625518479851745
"CIK_14",2011,0.75653225722868,0.0593797849837629,"Cook Inlet",0.785911476662366
"CIK_15",2011,0.778574841764149,0.126879646470829,"Cook Inlet",0.795309178880473
"CIK_16",2011,0.588098017693541,0.449212767696752,"Cook Inlet",0.415813935897931
"CIK_17",2011,0.600951138139212,0.390925275267836,"Cook Inlet",0.771625359204776
"CIK_18",2011,0.0818244588231677,1.13522859168774,"Cook Inlet",0.0371626190891915
"CIK_19",2011,0.24440745355333,0.974954345640583,"Cook Inlet",0.130168789064176
"CIK_20",2011,1.26088143512593,-0.0408500932115537,"Cook Inlet",0.718204732489625
"CIK_21",2011,1.12449686805042,0.0713989016085325,"Cook Inlet",0.499857037284127
"CIK_23",2011,0.794382383380783,0.0392104595416708,"Cook Inlet",0.678191242467826
"CIK_24",2011,0.89880042211316,-0.0972693314224435,"Cook Inlet",0.796917171937547
"CIK_26",2011,0.886062320369655,-0.288099364785734,"Cook Inlet",0.903310268992935
"CIK_27",2011,0.946178360801032,-0.384390229035164,"Cook Inlet",0.944737313578535
"CIK_3",2011,0.71104746356611,0.22487069305785,"Cook Inlet",0.483789292706708
"CIK_30",2011,0.758637589238931,0.200743276239136,"Cook Inlet",0.711736240937754
"CIK_31",2011,0.969754986034821,-0.240915377883528,"Cook Inlet",0.760384135788478
"CIK_32",2011,1.1075223080822,-0.714886802304092,"Cook Inlet",0.488167619976949
"CIK_33",2011,0.690764714295044,0.38372462790183,"Cook Inlet",0.598902826644988
"CIK_34",2011,0.684351055985547,0.308395360565588,"Cook Inlet",0.653304254160815
"CIK_35",2011,0.924218313280541,-0.0671719555595507,"Cook Inlet",0.453160228963802
"CIK_36",2011,0.86475862116541,-0.13521221458937,"Cook Inlet",0.757640756763066
"CIK_37",2011,0.75263396759164,0.203734217744297,"Cook Inlet",0.531445868046602
